PeakF	MaxF	MinF	StartF	EndF	Inflec	PRR	Sound	Dur	BW	RangeF	TrendF
215.3	260	97.1	260	97.1	0	0	GR	0.388	162.9	2.677651905	2.677651905
172.3	263.1	50.1	263.1	50.1	0	0	GR	0.462	213	5.251497006	5.251497006
129.2	269.4	50.1	269.4	50.1	0	0	GR	0.498	219.3	5.377245509	5.377245509
129.2	225.5	25.1	225.5	25.1	0	0	GR	0.61	200.4	8.984063745	8.984063745
129.2	238	31.3	238	31.3	0	0	GR	0.535	206.7	7.603833866	7.603833866
172.3	228.6	31.3	228.6	31.3	0	0	GR	0.684	197.3	7.303514377	7.303514377
414.5	459.9	317.5	317.5	412	3	0	MM	2.18	142.4	1.448503937	0.770631068
215.3	549.7	56.9	56.9	549.7	0	0	BA	1.626	492.8	9.660808436	0.103511006
349.9	405.1	302.2	344	405.1	3	0	MM	2.623	102.9	1.340502978	0.849173044
91.5	116.1	43.8	81	116.1	0	0	LBA	3.916	72.3	2.650684932	0.697674419
387.6	413.9	339.4	339.4	413.9	2	0	MM	2.475	74.5	1.219505009	0.820004832
215.3	267.2	153.3	220	220	0	0	LGO	3.584	113.9	1.742987606	1
748.3	814.6	376.7	473	526	1	0	HMM	1.108	438	2.162463499	0.899239544
1609.6	2251.2	1033.6	1033.6	2251.2	0	0	HSH	1.349	1217.6	2.178018576	0.459132907
1060.5	2908.1	1033.6	1033.6	2908.1	0	0	HSQ	0.342	1874.5	2.813564241	0.355421065
1065.9	2855.6	1024.8	1024.8	2855.6	0	0	HSQ	0.379	1830.8	2.786494926	0.358873792
3046.9	3512.5	3004.5	3004.5	3512.5	0	0	BW	0.189	508	1.169079714	0.855373665
2977	3591.3	2513.9	3407	3591.3	1	0	BW	0.457	1077.4	1.428577111	0.948681536
2670.1	3205.9	2365	3205.9	2891	1	0	BW	0.483	840.9	1.355560254	1.108924248
2960.8	3179.7	2487.7	2487.7	3179.7	0	0	BW	0.287	692	1.278168589	0.782369406
2750.9	3065.8	2627.8	2750	2750	0	0	BW	0.229	438	1.166679352	1
